TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M18 [20730],53.69,0.93,10.46,9.11,11.42,5.21,0.11,1.47,2.97,0.13,9.56,21.50266842,123.4257104,103.7963223,23.70647501,181.20689769999998,18.67655134,48.25415362,49.74289474,252.19945980000003,34.7309133,198.7315844,13.51630867,0.266912175,287.17902819999995,27.05738633,56.111656599999996,5.548863375,28.00007278,5.875752238,1.553888271,6.26910229,1.0266141,5.470339412,1.111132451,3.521683627,0.575046749,3.133341843,0.469969259,4.469166849,3.254635613
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M19 [20730],49.38,0.41,11.17,9.56,13.8,10.2,0.15,0.67,1.27,0.1,9.34,21.92532425,134.65599530000003,89.51618068,24.25642828,179.4540254,24.32694427,47.89906598,53.13983635,256.3076918,35.18417715,201.1832614,14.006673600000001,0.35361611200000004,312.72688700000003,27.59803054,57.27766344,5.635765891,28.26851909,5.917518653999999,1.521085129,6.255337647999999,1.0459353359999999,5.519337325,1.1266608329999999,3.551160716,0.580963351,3.158246873,0.469182573,4.5128939589999995,2.101112557
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M20 [20730],52.3,0.99,11.35,9.34,12.03,5.67,0.14,1.08,2.62,0.13,10.7,22.63531244,126.2356223,114.0057406,23.73771596,201.37669780000002,23.78513472,53.71171619,38.62186425,301.2846755,36.88369544,194.820962,14.36583572,0.206765292,241.0898102,28.95462529,59.69368441,5.847033516000001,29.34254336,6.120031692,1.78221841,6.628462784,1.084620392,5.767197513999999,1.172010456,3.654110732,0.599930142,3.231238497,0.465788976,4.3407227719999995,1.942146638
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M21 [20730],47.25,0.48,10.92,10.7,13.48,10.77,0.15,0.5,1.68,0.1,10.13,21.97310833,132.25299170000002,121.1419159,23.661758399999997,181.22225690000002,20.43680669,49.90894841,55.88460072,243.9506985,35.30185248,202.714042,13.83647045,0.346090732,309.4090457,27.01972365,56.28192732,5.575742752000001,28.16637688,5.901650307000001,1.58895761,6.371952072999999,1.038663914,5.591626961,1.139123377,3.600872008,0.592111936,3.2092341460000005,0.47515036299999996,4.555653447,1.7048896009999999
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M22 [20730],47.99,0.41,10.84,10.13,13.22,10.48,0.13,1.5,1.0,0.1,10.59,22.41916061,136.3806644,162.92706940000002,23.72925975,185.4148276,19.25808118,52.19116574,54.32940675,264.8754834,36.170291600000006,206.01448259999998,13.61102282,0.296480749,298.5972544,27.78466149,57.56637965,5.661438565,28.69960637,5.995166079,1.630201773,6.517472827000001,1.063422158,5.702890791000001,1.162324454,3.6855606560000003,0.601214968,3.2691444069999998,0.48513548799999995,4.648435721999999,1.860198285
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M23 [20730],49.24,0.45,11.51,10.59,13.28,9.73,0.14,1.0,1.39,0.1,8.75,22.47837541,136.39495319999997,151.0473922,23.07582696,177.0255247,22.17798201,50.27810486,62.00025188,238.4887313,34.93711543,201.9301137,13.22286996,0.356180125,338.3225751,27.02085091,56.17540186,5.520872659,27.96666225,5.796018331,1.593509595,6.296036247000001,1.02929724,5.484510007000001,1.123260181,3.517991977,0.58536177,3.186227867,0.46735173700000004,4.555102864,1.8234683319999998
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M26 [20730],53.92,0.93,10.16,10.8,11.72,5.16,0.12,1.63,2.6,0.13,10.37,25.86832358,134.4126719,121.7776906,23.09924168,178.32113619999998,18.239446899999997,48.50998638,56.209805200000005,249.26195040000002,34.46328711,195.96272340000002,13.15763477,0.27650198800000003,324.1846409,27.76629549,57.37199216,5.593627962,28.18354274,5.880096274,1.5704462280000002,6.352620377,1.014182985,5.425986803,1.108276681,3.470560518,0.572606163,3.095011817,0.46150133299999996,4.379151247,1.652286537
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M27 [20730],53.58,0.96,10.14,10.37,11.68,5.23,0.13,1.44,2.87,0.13,10.47,23.20718548,139.6823355,175.5236716,24.10063814,179.58908390000002,20.01123757,49.64732893,49.14729528,233.1201031,35.41959023,200.92018869999998,13.95210414,0.266284515,282.06084669999996,27.63584245,57.52568798,5.6489496379999995,28.52900572,5.971338643999999,1.5690088619999998,6.5066456210000005,1.0528156579999999,5.575135542000001,1.144716068,3.5994471630000002,0.588798765,3.1947909,0.46572439,4.4956612289999995,2.356530598
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M28 [20730],53.51,0.94,10.64,10.47,11.25,5.33,0.12,1.37,2.96,0.13,10.04,22.85929552,132.0146096,138.2824725,24.48186477,187.0291427,17.72275801,48.5612359,45.35894795,273.30294910000003,35.39010673,202.62867859999997,13.96896914,0.265828802,262.4458077,27.15026678,56.95883198,5.6091715970000005,28.02648777,5.938785537999999,1.4822909869999998,6.4408102629999995,1.045269178,5.574122663,1.140131543,3.576099094,0.583942025,3.199846963,0.47021783799999994,4.555292047,2.346212765
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M29 [20730],53.64,0.97,10.41,10.04,12.07,5.29,0.13,1.58,2.2,0.13,11.03,27.54723302,133.25401770000002,194.0454129,25.07946024,190.7388813,22.10169046,50.64307543,54.85550972,287.7628767,36.47997617,209.1738735,14.61391845,0.273954546,307.3727102,29.38667342,60.65171772,5.9786822079999995,29.74221061,6.183369001,1.791998934,6.6710394939999995,1.084526102,5.754270708,1.186282351,3.675079805,0.6001784689999999,3.2537995410000002,0.484751859,4.726783059,3.6948338339999998
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M30 [20730],53.84,0.94,10.36,11.03,11.58,5.22,0.12,1.71,2.61,0.13,10.32,29.84305888,136.0249818,108.1552146,24.03113898,180.56868380000003,20.46157202,48.98943681,63.98426168,267.4366227,35.42652184,202.3454705,14.05144673,0.324347006,404.7340535,28.52461025,58.88284825,5.758557196,28.94142957,6.045327147999999,1.487435214,6.461003754,1.066198508,5.639002066000001,1.146842135,3.623199348,0.586961007,3.240468344,0.479600631,4.565550181,2.138316402
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M31 [20730],53.44,0.93,10.33,10.32,11.6,5.24,0.13,1.6,2.91,0.13,10.72,23.71609326,128.2279065,152.4233269,24.16450489,181.78712230000002,20.67441039,49.10651212,54.67748077,238.1475257,34.56900137,200.1942659,14.20995312,0.304926545,304.0516137,27.41551264,56.77110128,5.549991021,27.71015344,5.791365375,1.5594757819999998,6.234286466,1.0211829270000001,5.437949932,1.1002705990000001,3.4648590880000003,0.56842282,3.089317468,0.46002412600000003,4.527205765,2.280919668
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M32 [20730],52.91,0.74,11.04,10.72,12.03,6.4,0.13,1.27,2.1,0.12,9.14,29.38990609,115.33887920000001,130.5911389,28.29988604,176.09692080000002,89.21693267,44.53172832,45.880154299999994,271.9398238,27.21109622,133.9386157,9.697759401,0.357354193,252.2857687,20.01120688,40.71836626,3.9728464580000002,19.72224301,4.173894617,1.187576737,4.582902042,0.768948155,4.194135592,0.87217265,2.7553737430000003,0.46033130299999997,2.460359921,0.35948350100000004,3.039691786,1.413052356
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M33 [20730],50.46,0.75,12.01,9.14,12.43,7.26,0.13,1.15,1.74,0.12,9.26,29.79777578,87.92525373,113.8727044,29.66058185,191.6786003,98.06093044,48.51960825,41.01318468,214.7577285,28.4451599,138.33717119999997,9.778668964,0.292204609,221.791998,21.25203517,42.8567747,4.1502607739999995,20.56712849,4.290574715,1.370869215,4.796832678,0.78643024,4.303357264,0.901545183,2.851686073,0.47450322899999997,2.5853758,0.37796076700000003,3.1770662830000003,1.442298277
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M34 [20730],52.73,0.76,11.07,9.26,11.75,6.44,0.13,1.42,2.16,0.12,9.24,30.07849791,87.47092241,112.32988780000001,30.28733126,190.3113007,113.67886570000002,46.43589224,51.04828007,268.89224160000003,29.15604576,152.58850990000002,10.33174937,0.356886604,300.0187234,21.40153246,43.75653951,4.250890036,21.34158518,4.478484953,1.271465635,4.923898568,0.81528055,4.459430053,0.93029674,3.014857202,0.491334531,2.686039945,0.401772102,3.464320677,1.6097902519999998
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M50 [20730],50.7,0.87,11.27,9.24,11.78,7.16,0.15,1.73,2.87,0.14,9.76,36.1561096,101.83834559999998,141.8852139,27.46802152,166.7637726,206.40958899999998,50.20765272,66.51619672,96.17203948,28.42073594,160.9419665,11.17437405,0.401382476,409.6824097,21.79343269,45.30310124,4.484429859,22.57921483,4.703427219,1.272061539,5.090240586,0.810598316,4.383167441,0.9104048440000001,2.916310115,0.487893155,2.696856996,0.40212287700000005,3.509177849,2.328395216
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M51 [20730],53.87,0.83,11.59,9.76,10.97,5.73,0.11,2.04,3.81,0.15,7.08,28.52181926,149.70223869999998,118.90485100000001,25.84081592,154.1305365,224.5472143,31.51500896,68.26425259,74.87729216,28.04922367,151.21602430000002,10.55664274,0.403608896,459.36784289999997,22.35789376,42.71308601,4.40569035,22.07280641,4.67441812,1.186781557,4.961808883,0.81786542,4.388574753,0.91131861,2.900417117,0.48380861299999994,2.626218642,0.393038044,3.369274597,1.67902454
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M52 [20730],51.42,0.84,10.94,7.08,12.19,6.78,0.15,1.34,3.11,0.14,9.42,32.55811687,77.56009957,112.7046169,26.52810145,163.3958395,187.78233889999998,43.20966861,47.96250338,85.03983375,27.66676703,161.746184,10.97277354,0.354091977,430.04188899999997,19.94484004,42.23710052,4.31722957,21.87423727,4.658526193999999,0.81618074,4.914113604,0.8072221190000001,4.260098509,0.88866489,2.8319136069999997,0.472763414,2.612616693,0.39511072399999997,3.55596031,1.6935029959999999
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M75 [20730],52.28,1.24,10.47,9.42,12.12,6.21,0.14,0.64,2.39,0.15,10.16,21.51708783,113.3083065,144.065351,31.23339603,220.956271,81.48634542,44.14263216,22.90527186,280.7973788,46.50725491,276.7156958,24.651584699999997,0.237200992,181.35208390000003,32.42081912,66.76981007,6.472420365,32.16128139,6.718036467999999,1.7000977469999998,7.526279392,1.284926706,7.085288358,1.482888465,4.8029941780000005,0.810693287,4.506504064,0.66553857,5.466591042,3.011610707
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M76 [20730],52.58,1.24,10.62,10.16,12.12,6.31,0.14,1.17,1.88,0.16,10.24,23.3787358,118.69114809999999,184.6714525,30.24867482,216.56867909999997,71.39522835,44.73833699,42.13974807,324.3371795,46.47266279,269.55677280000003,23.00787887,0.373181375,360.01293960000004,33.871517299999994,68.43903233,6.590556128999999,32.41694717,6.701124066,1.7915800569999998,7.561345956,1.290118465,7.071025333,1.490142441,4.8048064130000006,0.814704537,4.485048675,0.666087746,5.312826646,2.321192322
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M77 [20730],52.38,1.29,10.85,10.24,11.87,6.42,0.14,0.76,2.58,0.15,10.25,23.00009104,113.0439696,118.9344436,30.35749168,217.0754116,76.8817763,43.50664173,24.52584493,267.50814249999996,46.17390002,273.0366811,24.3695499,0.248645588,199.9032892,32.57934944,66.33134604,6.455666738,31.97180457,6.633871753999999,1.651762462,7.468033175,1.284806875,7.027846743,1.4747826880000001,4.7788114760000004,0.8069142440000001,4.498082159,0.6596892520000001,5.37429922,2.9531467539999996
INTRAPLATE VOLCANICS,29.0628,118.9812,SAE,s_GP-4 [20751],45.68,2.84,11.11,11.7,9.76,9.93,0.17,1.67,2.79,0.51,12.77,238.0,78.0,140.0,21.0,220.0,278.0,60.0,70.0,1044.0,27.0,238.0,70.0,0.5,680.0,33.0,64.0,8.0,34.0,8.0,2.8,8.0,1.09,5.8,1.0,2.4,0.29,1.6,0.21,5.4,3.8
INTRAPLATE VOLCANICS,29.0628,118.9812,SAE,s_GP-5 [20751],45.16,3.01,11.21,12.77,10.49,10.46,0.17,1.8,2.2,0.57,12.44,283.0,78.0,151.0,22.0,228.0,310.0,66.0,84.0,939.0,28.0,234.0,71.0,0.6,656.0,35.0,71.0,8.0,37.0,9.0,2.9,8.0,1.16,6.1,1.0,2.5,0.3,1.6,0.22,5.3,3.8
INTRAPLATE VOLCANICS,29.0628,118.9812,SAE,s_GP-7 [20751],45.27,2.97,11.31,12.44,10.56,10.31,0.17,1.69,2.08,0.55,12.35,269.0,91.0,148.0,23.0,232.0,280.0,65.0,84.0,979.0,28.0,230.0,70.0,0.6,618.0,33.0,67.0,8.0,36.0,8.0,2.8,8.0,1.14,6.0,1.0,2.5,0.31,1.7,0.22,5.3,3.7
INTRAPLATE VOLCANICS,29.3359,120.8542,SAE,s_SC-1 [20751],49.68,2.37,12.54,12.35,8.41,7.45,0.15,1.27,3.22,0.38,11.52,131.0,61.0,127.0,21.0,178.0,154.0,50.0,53.0,676.0,24.0,198.0,50.0,0.5,478.0,24.0,46.0,6.0,25.0,6.0,2.3,6.0,0.9,4.9,0.9,2.2,0.28,1.6,0.22,4.5,2.7
INTRAPLATE VOLCANICS,29.3359,120.8542,SAE,s_SC-2 [20751],48.24,2.39,12.69,11.52,8.89,7.71,0.15,1.27,2.89,0.38,11.32,117.0,61.0,120.0,21.0,195.0,169.0,46.0,52.0,929.0,23.0,189.0,47.0,0.4,501.0,22.0,43.0,5.0,23.0,6.0,2.2,6.0,0.86,4.6,0.8,2.1,0.25,1.5,0.21,4.3,2.6
INTRAPLATE VOLCANICS,29.3359,120.8542,SAE,s_SC-3 [20751],48.21,2.3,12.77,12.7,8.77,7.05,0.15,1.28,3.13,0.37,10.91,120.0,58.0,122.0,22.0,197.0,173.0,47.0,49.0,606.0,23.0,194.0,48.0,0.2,481.0,22.0,44.0,5.0,23.0,6.0,2.2,6.0,0.87,4.7,0.8,2.1,0.26,1.6,0.21,4.4,2.6
INTRAPLATE VOLCANICS,29.3359,120.8542,SAE,s_SC-4 [20751],48.49,2.43,12.96,10.91,8.68,7.88,0.15,1.32,2.99,0.38,11.56,127.0,58.0,123.0,21.0,191.0,152.0,48.0,53.0,666.0,23.0,198.0,50.0,0.4,488.0,22.0,42.0,5.0,23.0,6.0,2.2,6.0,0.85,4.7,0.8,2.1,0.26,1.6,0.21,4.5,2.7
INTRAPLATE VOLCANICS,29.3359,120.8542,SAE,s_SC-5 [20751],48.56,2.48,12.82,11.56,9.31,7.88,0.16,1.39,3.22,0.51,11.11,132.0,65.0,124.0,22.0,193.0,174.0,51.0,76.0,587.0,24.0,184.0,47.0,0.2,496.0,26.0,52.0,6.0,25.0,7.0,2.3,6.0,0.93,4.9,0.9,2.1,0.26,1.6,0.21,4.2,2.4
INTRAPLATE VOLCANICS,33.8,85.0,SAE,s_12RW-2 [20759],51.25,0.57,16.97,9.43,7.27,7.46,0.16,0.76,3.21,0.1,8.22,84.8,54.8,80.7,23.8,206.0,283.0,29.7,16.7,594.0,8.2,40.9,1.15,0.31,324.0,5.08,11.7,1.49,6.8,1.64,0.64,1.61,0.27,1.6,0.35,1.0,0.15,1.01,0.16,1.22,0.07
INTRAPLATE VOLCANICS,33.8,85.0,SAE,s_12RW-4 [20759],47.92,1.36,15.5,8.22,6.93,8.86,0.18,0.42,3.02,0.19,9.83,190.1,65.8,113.5,25.1,249.0,282.0,44.6,6.7,655.0,15.3,107.0,4.88,0.2,385.0,9.79,23.3,2.91,13.2,3.22,1.19,3.24,0.53,3.21,0.66,1.85,0.27,1.78,0.27,2.72,0.37
CONVERGENT MARGIN,13.433,-88.26700000000001,SAE,s_CH1 [20726],50.79321553,0.857,16.0828391,14.01,11.25338362,6.691201071,0.2,0.841469226,2.169571256,0.12,8.792972327000001,20.0,240.0,110.0,26.0,323.0,58.0,31.0,14.0,369.0,16.4,64.0,1.1,0.7,422.0,7.97,19.2,2.77,11.6,3.38,0.973,3.22,0.55,3.32,0.66,1.9,0.29100000000000004,1.83,0.28,1.7,0.1
CONVERGENT MARGIN,13.433,-88.26700000000001,SAE,s_CH2 [20726],51.52,0.905,16.29,8.792972327000001,10.75331245,6.22,0.21,0.854431345,2.207280976,0.12,9.07768,20.0,240.0,100.0,27.0,322.0,55.0,31.0,13.0,370.0,16.7,70.0,1.6,0.6,423.0,7.95,19.1,2.69,11.3,3.36,1.04,3.37,0.56,3.31,0.64,1.86,0.285,1.81,0.268,1.9,0.12
CONVERGENT MARGIN,13.433,-88.26700000000001,SAE,s_CH3 [20726],51.82,0.9179999999999999,16.4,9.07768,9.95,5.81,0.23,0.91,2.37,0.13,9.830233363,19.0,240.0,100.0,27.0,317.0,52.0,30.0,15.0,375.0,17.1,72.0,1.6,0.7,424.0,8.04,19.5,2.74,11.6,3.37,1.02,3.37,0.57,3.37,0.67,1.97,0.298,1.87,0.285,1.9,0.13
CONVERGENT MARGIN,13.433,-88.26700000000001,SAE,s_CH4 [20726],52.0,0.9490000000000001,16.44,9.830233363,9.675210963,5.44,0.23,0.928543004,2.5,0.13,10.02316,18.0,230.0,100.0,30.0,317.0,50.0,30.0,16.0,377.0,20.0,73.0,1.7,0.7,434.0,9.05,21.5,3.06,13.0,3.84,1.09,3.87,0.66,3.98,0.8,2.26,0.337,2.19,0.32799999999999996,1.9,0.13
CONVERGENT MARGIN,13.433,-88.26700000000001,SAE,s_CH5 [20726],51.91,0.966,16.48,10.02316,9.596660718999999,5.13,0.24,0.958450166,2.58,0.13,10.3109,18.0,230.0,100.0,30.0,316.0,46.0,29.0,15.0,379.0,20.5,73.0,1.8,0.7,434.0,9.07,21.8,3.19,13.7,4.09,1.15,4.03,0.68,3.96,0.78,2.3,0.341,2.2,0.337,2.0,0.13
SEAMOUNT,-25.33,-129.27,SAQ,s_63DS-1 [759],52.54,2.6,16.2,12.44,6.95,3.17,0.15,2.04,4.62,0.96,9.26,91.0,66.0,106.0,26.0,269.0,231.0,42.0,14.0,459.0,22.0,198.0,28.0,0.11,223.0,25.0,54.0,7.0,29.0,6.0,2.1,5.8,0.8,4.7,0.9,2.2,0.3,1.8,0.3,4.4,1.9
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_H1 [13383],47.21,1.06,12.29,8.83,10.1,8.69,0.21,0.07,2.97,0.09,15.526,102.0,104.0,102.0,37.0,261.0,123.0,83.0,0.74,87.0,28.0,16.0,3.64,0.69,56.0,4.88,11.76,1.57,7.58,2.56,0.86,3.41,0.61,4.34,0.81,2.51,0.33,2.4,0.35,0.59,0.34
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_H4 [13383],47.41,2.22,12.05,15.27,9.9,5.08,0.19,0.48,2.42,0.22,17.56,49.0,186.0,113.0,47.0,314.0,93.0,80.0,15.98,154.0,46.0,191.0,16.77,2.98,2.04,17.64,36.61,4.61,19.76,5.97,1.95,6.11,1.17,6.14,1.33,3.77,0.56,3.71,0.63,4.34,1.08
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_DD15 [13383],46.57,0.89,11.56,15.985999999999999,9.14,10.15,0.21,0.07,2.91,0.09,14.85,91.0,77.0,77.0,29.0,231.0,134.0,58.0,2.9,119.0,24.0,32.0,3.21,0.1,49.0,4.73,11.58,1.62,8.23,2.56,1.03,3.24,0.54,3.73,0.73,2.36,0.32,2.19,0.33,1.38,0.34
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_N21 [13383],46.98,1.04,11.88,13.372,4.17,10.72,0.24,0.11,2.1,0.1,13.472000000000001,107.0,102.0,93.0,42.0,302.0,112.0,88.0,3.84,147.0,29.0,24.0,4.34,0.43,37.0,4.41,10.73,1.49,7.96,2.48,0.93,2.96,0.54,3.8,0.79,2.14,0.36,2.0,0.32,0.79,0.36
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_N33 [13383],46.19,0.7,13.05,14.852,9.21,12.65,0.1,0.15,1.87,0.2,13.9,24.0,171.0,102.0,35.0,232.0,303.0,61.0,13.65,115.0,22.0,35.0,2.74,0.23,49.0,2.9,8.6,1.31,6.52,2.07,0.78,2.76,0.48,3.19,0.69,2.13,0.3,2.04,0.25,0.9,0.22
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_N39 [13383],46.78,0.9,13.75,14.175999999999998,11.14,8.17,0.21,0.6,1.36,0.02,13.767999999999999,19.0,85.0,46.0,28.0,212.0,264.0,43.0,14.81,81.0,7.0,15.0,2.83,0.59,108.0,3.0,8.39,1.25,6.44,2.0,0.52,1.75,0.25,1.32,0.25,0.63,0.1,0.73,0.1,0.33,0.29
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_N42 [13383],49.9,0.54,10.51,9.14,7.89,13.36,0.2,0.19,2.0,0.01,13.225999999999999,20.0,80.0,70.0,32.0,181.0,638.0,56.0,6.43,162.0,16.0,40.0,3.88,0.62,37.0,7.75,18.95,2.15,8.95,2.48,0.63,2.49,0.41,2.5,0.55,1.66,0.23,2.61,0.22,0.93,0.33
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_N44 [13383],47.24,0.64,11.3,13.225999999999999,10.2,13.38,0.19,0.24,1.71,0.02,13.196,22.0,67.0,74.0,32.0,218.0,410.0,50.0,7.7,151.0,19.0,29.0,2.83,0.04,41.0,3.25,9.38,1.32,6.11,1.72,0.78,2.51,0.45,2.94,0.62,1.73,0.25,1.72,0.24,0.79,0.2
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),15.125,76.7,SAE,s_N46 [13383],45.93,0.93,13.51,13.196,10.2,10.85,0.19,0.28,2.03,0.02,13.454,26.0,191.0,95.0,37.0,248.0,328.0,67.0,8.69,127.0,23.0,42.0,13.06,0.65,51.0,3.0,8.89,1.26,6.49,2.19,0.63,2.83,0.52,3.58,0.76,2.12,0.35,2.17,0.26,0.97,0.81
SEAMOUNT,-25.33,-129.27,SAQ,s_64DS-3 [759],48.76,2.77,15.02,13.16,9.35,8.16,0.16,0.98,3.1,0.5,10.6,148.0,42.0,115.0,22.0,240.0,344.0,46.0,13.0,535.0,25.0,220.0,28.0,0.12,186.0,22.0,51.0,6.8,30.0,7.1,2.3,6.6,1.0,5.5,1.0,2.5,0.3,2.1,0.3,5.3,1.9
SEAMOUNT,-25.33,-129.27,SAQ,s_69DS-5 [759],49.81,2.83,15.41,9.33,9.99,6.1,0.15,1.04,3.07,0.44,10.06,53.0,40.0,117.0,24.0,291.0,70.0,40.0,15.0,519.0,24.0,229.0,33.0,0.14,196.0,23.0,54.0,7.1,30.0,6.9,2.3,6.4,0.9,5.2,0.9,2.4,0.3,1.9,0.3,5.0,2.0
INTRAPLATE VOLCANICS,26.34,117.27,SAE,s_SH11-01 [20784],45.85,2.71,12.38,12.16,10.57,8.82,0.14,0.92,3.15,1.36,10.77,191.6,61.64,118.4,19.86,187.9,188.4,49.3,47.92,1008.0,23.46,214.0,85.47,0.618,832.2,59.86,110.6,12.66,51.1,9.606,3.05,8.272,1.031,5.294,0.888,2.198,0.26899999999999996,1.591,0.21600000000000003,5.2010000000000005,4.735
INTRAPLATE VOLCANICS,26.34,117.27,SAE,s_SH11-02 [20784],45.13,2.83,12.68,12.29,10.35,9.51,0.14,1.65,2.46,1.08,11.11,215.8,74.64,104.0,19.66,182.2,197.3,48.38,50.62,816.2,20.44,184.1,71.47,0.743,755.8,46.66,85.16,9.942,40.5,7.824,2.516,6.91,0.879,4.5680000000000005,0.7809999999999999,1.952,0.244,1.431,0.2,4.6530000000000005,4.129
INTRAPLATE VOLCANICS,29.3,120.83,SAE,s_XH11-01 [20784],48.26,2.74,11.25,11.58,8.9,9.7,0.14,1.44,1.89,0.61,11.58,253.2,75.14,156.7,19.96,214.4,298.2,53.88,51.76,903.0,24.46,243.4,69.73,0.598,543.6,33.04,62.38,1.6380000000000001,32.9,7.534,2.556,7.224,0.981,5.228,0.887,2.1519999999999997,0.259,1.485,0.193,5.966,4.277
INTRAPLATE VOLCANICS,29.3,120.83,SAE,s_XH11-03 [20784],46.35,2.85,12.38,10.93,9.33,9.31,0.15,1.62,1.96,0.6,12.01,203.0,65.92,135.9,17.59,184.9,239.6,49.0,41.36,748.2,22.22,216.8,60.77,0.44299999999999995,468.4,28.9,55.34,6.8260000000000005,29.78,6.957999999999999,2.396,6.746,0.927,4.9639999999999995,0.843,2.044,0.242,1.396,0.18100000000000002,5.654,3.8539999999999996
INTRAPLATE VOLCANICS,29.3,120.83,SAE,s_XH11-08 [20784],45.71,2.85,12.68,14.79,9.54,9.69,0.15,1.63,1.89,0.6,12.0,229.6,72.64,144.8,18.8,196.4,258.8,51.86,45.44,909.4,24.08,238.8,66.46,0.509,509.2,32.22,61.22,7.5520000000000005,32.62,7.644,2.594,7.324,1.003,5.4,0.91,2.214,0.263,1.5319999999999998,0.198,6.191,4.2860000000000005
INTRAPLATE VOLCANICS,29.3,120.83,SAE,s_XH11-10 [20784],48.76,2.64,12.33,12.01,8.84,8.39,0.15,1.62,1.86,0.57,11.2,231.0,63.9,147.2,17.78,178.3,238.2,51.44,52.26,814.0,23.84,232.8,62.9,0.659,540.4,31.5,59.74,7.322,31.34,7.212000000000001,2.42,6.914,0.941,5.118,0.877,2.17,0.263,1.569,0.204,6.021,4.012
INTRAPLATE VOLCANICS,23.62,116.09,SAE,s_JC11-02 [20784],46.39,2.23,13.97,12.0,7.63,8.71,0.18,1.97,3.78,0.85,11.58,226.2,34.08,161.1,12.98,117.5,312.2,38.36,84.24,927.4,25.92,399.2,123.0,1.2209999999999999,818.6,64.96,125.1,13.65,53.16,9.898,3.088,8.622,1.112,5.7379999999999995,0.96,2.336,0.27699999999999997,1.58,0.201,9.104,7.943
INTRAPLATE VOLCANICS,23.62,116.09,SAE,s_JC11-05 [20784],45.38,2.24,14.59,11.2,8.28,9.83,0.16,1.75,3.07,0.63,11.26,233.0,45.44,129.0,17.7,149.7,315.2,42.04,68.92,690.4,22.56,291.4,89.65,0.8270000000000001,627.4,46.02,84.44,9.693999999999999,38.16,7.334,2.366,6.73,0.894,4.854,0.835,2.122,0.257,1.544,0.205,6.723,5.742000000000001
INTRAPLATE VOLCANICS,23.62,116.09,SAE,s_JC11-07 [20784],46.55,2.18,14.1,11.58,8.07,9.95,0.16,1.63,3.14,0.61,11.04,234.4,47.08,139.0,17.82,153.1,324.2,42.36,65.78,671.8,22.3,291.0,87.89,0.789,602.6,44.7,82.36,9.472000000000001,37.16,7.204,2.322,6.5920000000000005,0.887,4.763999999999999,0.828,2.084,0.256,1.527,0.205,6.599,5.619
